subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsere,Negative Binomial (incidence-frequency estimator),1,12307.699113403543,219202.30088659647,219202.30088659647,219202.30088659647,0.9468372894760333,0.9468372894760333,-219202.30088659647,0.05285300850935165
parsere,Poisson (hit-count estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parsere,Poisson (incidence-frequency estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parsere,Zipf-Mandelbrot (coverage-frequency estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parsere,ztNB (incidence-frequency estimator),1,12307.699113403543,219202.30088659647,219202.30088659647,219202.30088659647,0.9468372894760333,0.9468372894760333,-219202.30088659647,0.05285300850935165
parsere,ztPoisson (incidence-frequency estimator),1,12236.0,219274.0,219274.0,219274.0,0.9471469914906484,0.9471469914906484,-219274.0,0.05285300850935165
parserf,Beta-Binomial (incidence-based),1,14236.904617908573,317064.0953820914,317064.0953820914,317064.0953820914,0.9570272814814668,0.9570272814814668,-317064.0953820914,0.04281906785672244
parserf,Chao1 (incidence-based),1,14236.980368828079,317064.01963117195,317064.01963117195,317064.01963117195,0.9570270528346487,0.9570270528346487,-317064.01963117195,0.04281906785672244
parserf,Chao2 (incidence-based),1,14236.904617908573,317064.0953820914,317064.0953820914,317064.0953820914,0.9570272814814668,0.9570272814814668,-317064.0953820914,0.04281906785672244
parserf,Chao2_bc (incidence-based),1,14236.75146865774,317064.24853134225,317064.24853134225,317064.24853134225,0.9570277437476562,0.9570277437476562,-317064.24853134225,0.04281906785672244
parserf,Chiu (incidence-based),1,14186.123140987507,317114.87685901247,317114.87685901247,317114.87685901247,0.9571805604541263,0.9571805604541263,-317114.87685901247,0.04281906785672244
parserf,Exponential (hit-count estimator),1,14186.001041061078,317114.99895893893,317114.99895893893,317114.99895893893,0.9571809290009355,0.9571809290009355,-317114.99895893893,0.04281906785672244
parserf,Exponential (incidence-frequency estimator),1,1.4186e+16,1.41859999996687e+16,1.41859999996687e+16,1.41859999996687e+16,42819067855.72244,42819067855.72244,1.41859999996687e+16,0.04281906785672244
parserf,Gamma (hit-count estimator),1,16071.265282141363,315229.73471785866,315229.73471785866,315229.73471785866,0.9514904413746371,0.9514904413746371,-315229.73471785866,0.04281906785672244
parserf,Gamma (incidence-frequency estimator),1,1.4186e+16,1.41859999996687e+16,1.41859999996687e+16,1.41859999996687e+16,42819067855.72244,42819067855.72244,1.41859999996687e+16,0.04281906785672244
parserf,Gamma-Poisson (incidence-frequency estimator),1,14330.60247851617,316970.3975214838,316970.3975214838,316970.3975214838,0.9567444635587693,0.9567444635587693,-316970.3975214838,0.04281906785672244
